, open , high , low , close , volume , range , 목표가  ,매수여부, 수익률 ,
2021-01-15 9:00," 42,787,000 "," 43,199,000 "," 38,690,000 "," 40,952,000 "," 16,278 "," 4,509,000 "," 44,531,000 ",0,1,
2021-01-16 9:00," 40,951,000 "," 41,800,000 "," 39,689,000 "," 40,086,000 "," 10,393 "," 2,111,000 "," 43,205,500 ",0,1,
2021-01-17 9:00," 40,070,000 "," 40,722,000 "," 38,102,000 "," 39,536,000 "," 9,785 "," 2,620,000 "," 41,125,500 ",0,1,
2021-01-18 9:00," 39,536,000 "," 40,999,000 "," 38,699,000 "," 40,008,000 "," 8,375 "," 2,300,000 "," 40,846,000 ",1,0.979483915,
2021-01-19 9:00," 40,008,000 "," 41,251,000 "," 39,580,000 "," 39,586,000 "," 9,913 "," 1,671,000 "," 41,158,000 ",1,0.961805724,
2021-01-20 9:00," 39,580,000 "," 39,998,000 "," 37,579,000 "," 39,253,000 "," 10,291 "," 2,419,000 "," 40,415,500 ",0,1,
2021-01-21 9:00," 39,253,000 "," 39,329,000 "," 33,867,000 "," 34,519,000 "," 18,817 "," 5,462,000 "," 40,462,500 ",0,1,
2021-01-22 9:00," 34,525,000 "," 37,342,000 "," 31,662,000 "," 36,345,000 "," 21,883 "," 5,680,000 "," 37,256,000 ",1,0.975547563,
2021-01-23 9:00," 36,345,000 "," 37,018,000 "," 34,678,000 "," 35,493,000 "," 8,710 "," 2,340,000 "," 39,185,000 ",0,1,
2021-01-24 9:00," 35,494,000 "," 36,283,000 "," 34,250,000 "," 35,539,000 "," 7,626 "," 2,033,000 "," 36,664,000 ",0,1,
2021-01-25 9:00," 35,539,000 "," 38,388,000 "," 35,394,000 "," 36,054,000 "," 14,596 "," 2,994,000 "," 36,555,500 ",1,0.986281134,
2021-01-26 9:00," 36,054,000 "," 36,594,000 "," 34,808,000 "," 35,923,000 "," 8,490 "," 1,786,000 "," 37,551,000 ",0,1,
2021-01-27 9:00," 35,929,000 "," 36,026,000 "," 33,235,000 "," 34,300,000 "," 9,357 "," 2,791,000 "," 36,822,000 ",0,1,
2021-01-28 9:00," 34,293,000 "," 37,186,000 "," 33,726,000 "," 36,624,000 "," 9,452 "," 3,460,000 "," 35,688,500 ",1,1.026212926,
2021-01-29 9:00," 36,631,000 "," 41,072,000 "," 35,514,000 "," 37,523,000 "," 33,566 "," 5,558,000 "," 38,361,000 ",1,0.978154897,
2021-01-30 9:00," 37,523,000 "," 38,201,000 "," 36,230,000 "," 37,087,000 "," 12,482 "," 1,971,000 "," 40,302,000 ",0,1,
2021-01-31 9:00," 37,039,000 "," 37,633,000 "," 35,800,000 "," 36,408,000 "," 11,396 "," 1,833,000 "," 38,024,500 ",0,1,
2021-02-01 9:00," 36,408,000 "," 38,161,000 "," 35,907,000 "," 36,618,000 "," 13,783 "," 2,254,000 "," 37,324,500 ",1,0.981071414,
2021-02-02 9:00," 36,618,000 "," 38,300,000 "," 36,323,000 "," 37,910,000 "," 9,650 "," 1,977,000 "," 37,745,000 ",1,1.00437144,
2021-02-03 9:00," 37,910,000 "," 39,371,000 "," 37,909,000 "," 39,357,000 "," 9,776 "," 1,462,000 "," 38,898,500 ",1,1.011787087,
2021-02-04 9:00," 39,345,000 "," 41,426,000 "," 38,059,000 "," 39,810,000 "," 14,561 "," 3,367,000 "," 40,076,000 ",1,0.993362611,
